id;unidade_consumidora;status;mes;valor_cobrado;valor_economia;valor_fatura_concessionaria;porcentagem_economia
26780;26644658;PAGO;2024-01-01;6606.89;734.1;0;10
26820;21801135;PAGO;2024-01-01;1250.5;138.93;2284.24;3.78
28561;1446797;PAGO;2024-01-01;293.64;51.81;214.9;9.25
25842;46059492;PAGO;2024-01-01;1262.19;140.24;526.14;7.27
26517;20462808;PAGO;2024-01-01;2164.92;225.92;366.85;8.19
26527;14477785;PAGO;2024-01-01;2550.31;266.15;452.25;8.14
26679;926414946;PAGO;2024-01-01;1132.31;125.8;0;10
26451;3011100;PAGO;2024-01-01;281.69;42.08;0;13
26691;923147192;PAGO;2024-01-01;167.29;18.57;0;9.99
26758;51410580;PAGO;2024-01-01;497.66;87.82;0;15
26786;3491722;PAGO;2024-01-01;252.7;28.07;0;10
26837;55834873;PAGO;2024-01-01;2212.54;245.84;0;10
26894;56366326;VENCIDO;2024-01-01;217.42;32.49;166.6;7.8
25902;4750071;PAGO;2024-01-01;3399.91;377.77;1350.4;7.37
27126;41280530;PAGO;2024-01-01;1489.01;165.45;0;10
25898;12050950;PAGO;2024-01-01;5096.34;566.25;0;10
26208;108154050;PAGO;2024-01-01;181.59;20.18;0;10
26561;90659619;VENCIDO;2024-01-01;3288.67;325.25;0;9
26572;95700943;PAGO;2024-01-01;601.1;66.8;0;10
26889;53885870;PAGO;2024-01-01;236.51;26.28;491.26;3.49
27752;4000456462;PAGO;2024-01-01;232.3;41;73.71;11.82
28700;7186258;PAGO;2024-01-01;367.21;91.8;0;20
28701;21312215;PAGO;2024-01-01;475.99;119;0;20
25871;51102649;PAGO;2024-01-01;7771.22;863.47;3408.99;7.17
25808;25032551;PAGO;2024-01-01;7685.67;853.96;0;10
26189;4003006112;PAGO;2024-01-01;5109.98;533.29;0;9.45
26370;47015782;PAGO;2024-01-01;1361.59;134.67;0;9
26375;20609400;PAGO;2024-01-01;448.07;49.78;161.91;7.55
26399;46324510;PAGO;2024-01-01;1954.86;193.34;499.86;7.3
26565;82023930;PAGO;2024-01-01;1254.99;124.12;0;9
26591;89329368;PAGO;2024-01-01;1805.4;178.55;0;9
26589;88903010;PAGO;2024-01-01;5520.76;546.01;0;9
26436;101474750;PAGO;2024-01-01;781.12;103.5;0;11.7
26213;35635886;PAGO;2024-01-01;6629.71;1169.93;943.55;13.38
26264;42420549;PAGO;2024-01-01;169.77;10.34;90.33;3.82
25914;22370391;PAGO;2024-01-01;3319.5;368.83;495.71;8.82
28573;41334213;PAGO;2024-01-01;476.9;84.15;0;15
28842;31588596;PAGO;2024-01-01;1419.3;123.42;0;8
26002;40465103;PAGO;2024-01-01;2349.31;232.35;320.03;8.01
26040;88039145;PAGO;2024-01-01;1944.89;290.62;2138.18;6.64
26205;61310875;PAGO;2024-01-01;643.51;71.49;0;10
26539;9313699;VENCIDO;2024-01-01;116.65;0;135.27;0
26226;4001522094;PAGO;2024-01-01;745.95;131.63;202.39;12.19
26765;27284809;PAGO;2024-01-01;3630.08;403.34;525.38;8.85
26872;51676726;PAGO;2024-01-01;237.28;26.37;0;10
27675;42518431;PAGO;2024-01-01;4025.35;710.35;0;15
34311;3278670;VENCIDO;2024-01-01;803.36;125.38;0;13.5
25989;9932208;PAGO;2024-01-01;4711.74;466;1637.96;6.84
26098;3666760;PAGO;2024-01-01;155.42;27.42;155.69;8.1
26192;35046856;PAGO;2024-01-01;1474.72;153.9;762.13;6.44
26416;9175091;PAGO;2024-01-01;12941.83;1279.96;1441.62;8.17
26244;4000062554;PAGO;2024-01-01;411.47;72.61;444.17;7.82
26658;945406139;PAGO;2024-01-01;1347.81;149.76;0;10
26757;25575180;PAGO;2024-01-01;278.82;49.19;0;15
26862;42199516;PAGO;2024-01-01;165.44;18.38;169.72;5.2
25984;47939354;PAGO;2024-01-01;2136.11;211.27;2897.56;4.03
26000;19706885;PAGO;2024-01-01;3064.06;303.03;644.14;7.55
27676;41962109;PAGO;2024-01-01;3038.93;536.29;0;15
25792;109427351;PAGO;2024-01-01;3521.08;391.23;2163.64;6.44
25848;2139570;PAGO;2024-01-01;3623.14;402.57;556.88;8.78
25861;42626546;PAGO;2024-01-01;1629.52;181.05;289.05;8.62
25865;614530;PAGO;2024-01-01;141.86;0.89;120.25;0.34
25853;20431270;PAGO;2024-01-01;387.93;43.09;0;10
26497;79987;PAGO;2024-01-01;3639;642.18;1064.83;12.01
26839;30168550;PAGO;2024-01-01;2533.64;281.51;0;10
26821;28183879;PAGO;2024-01-01;1916.73;212.95;2771.24;4.35
26832;42113026;PAGO;2024-01-01;2206.38;245.15;396.37;8.61
28692;27046002;PAGO;2024-01-01;182.68;42.19;0;18.76
28579;4003008436;PAGO;2024-01-01;5687.23;1003.61;0;15
26795;48016537;VENCIDO;2024-01-01;2210.72;245.64;0;10
26008;1440667;PAGO;2024-01-01;911.7;90.15;332.18;6.76
25883;40734520;PAGO;2024-01-01;709.58;78.84;0;10
26078;1092588;VENCIDO;2024-01-01;227.02;40.05;349.76;6.49
26067;728969;PAGO;2024-01-01;1558.75;275.07;4967.15;4.04
26172;35022230;PAGO;2024-01-01;5734.84;598.5;0;9.45
26552;54677580;PAGO;2024-01-01;751.82;83.53;0;10
26611;2540746;PAGO;2024-01-01;3336.97;348.25;0;9.45
26670;948019681;PAGO;2024-01-01;564.22;62.69;307.95;6.71
26643;415332;PAGO;2024-01-01;701.14;109.43;0;13.5
26892;20430958;PAGO;2024-01-01;177.51;26.53;181.65;6.88
28129;33721319;PAGO;2024-01-01;1487.31;165.24;1783.09;4.81
28898;32412106;PAGO;2024-01-01;606.32;12.37;0;2
26079;2209560;PAGO;2024-01-01;135.64;23.92;293.6;5.28
26188;4003144649;PAGO;2024-01-01;5992.48;625.39;0;9.45
26622;20773676;VENCIDO;2024-01-01;286.14;50.49;0;15
26713;927316942;PAGO;2024-01-01;651.06;72.35;0;10
25893;46059271;PAGO;2024-01-01;4718.71;524.29;763.5;8.73
25930;45513408;PAGO;2024-01-01;362.84;40.31;203.85;6.64
26137;18898004;PAGO;2024-01-01;1325.88;147.3;372.11;7.98
26364;32250637;PAGO;2024-01-01;1798.76;177.89;0;9
26424;49394179;PAGO;2024-01-01;8151.58;806.2;1174.96;7.96
26314;84100974;PAGO;2024-01-01;1918.66;189.76;754.02;6.63
26529;9011307;PAGO;2024-01-01;10262.04;1070.97;1322.52;8.46
26262;43336797;PAGO;2024-01-01;464.09;51.56;165.35;7.57
26252;64360;PAGO;2024-01-01;486.41;85.82;0;15
26752;29321441;PAGO;2024-01-01;1102.31;122.48;0;10
25905;43800442;PAGO;2024-01-01;2180.2;242.24;401.02;8.58
26019;887765;PAGO;2024-01-01;3786.95;565.85;4521.51;6.38
26035;887978;PAGO;2024-01-01;375.38;56.1;651.34;5.18
26027;69737819;PAGO;2024-01-01;572.51;85.54;875.97;5.58
26163;4002881214;PAGO;2024-01-01;5649.07;996.87;811.06;13.37
26546;2648849;VENCIDO;2024-01-01;938.39;97.93;383.38;6.9
26553;80998119;PAGO;2024-01-01;2730.51;270.04;0;9
26528;4003594355;PAGO;2024-01-01;9855.62;1028.55;1274.38;8.46
26275;27209661;VENCIDO;2024-01-01;1518.99;100.54;0;6.21
26452;88373851;PAGO;2024-01-01;550.79;82.3;0;13
26600;4000577050;PAGO;2024-01-01;4284.06;447.09;0;9.45
27009;42541109;VENCIDO;2024-01-01;316.93;47.36;0;13
27012;47791103;PAGO;2024-01-01;2154.16;321.88;0;13
26822;4111010;PAGO;2024-01-01;1842.15;204.67;0;10
27309;3791246;PAGO;2024-01-01;411.48;72.62;0;15
26844;9182020;VENCIDO;2024-01-01;5722.75;1009.88;2044.88;11.51
28840;27965652;PAGO;2024-01-01;1527.11;132.79;0;8
28569;41334132;PAGO;2024-01-01;6384.15;1126.62;0;15
25874;1600885;PAGO;2024-01-01;2903.92;322.67;622.1;8.38
26362;50947394;PAGO;2024-01-01;806.74;89.64;178.51;8.34
26558;85277525;PAGO;2024-01-01;1480.89;146.46;0;9
26538;1855867;PAGO;2024-01-01;403.31;71.18;156.47;11.28
26532;4001901994;PAGO;2024-01-01;1407.22;146.85;427.79;7.41
26696;935081801;PAGO;2024-01-01;562.94;62.54;0;10
26453;1579533;PAGO;2024-01-01;437.67;65.4;0;13
26816;10991315;VENCIDO;2024-01-01;2606.98;289.67;375.05;8.85
26039;79248217;PAGO;2024-01-01;1372.97;205.15;2242.65;5.37
28902;42215201;PAGO;2024-01-01;3236.17;281.41;0;8
26845;9182896;VENCIDO;2024-01-01;3008.74;530.95;512.08;13.1
26024;93851090;PAGO;2024-01-01;1039.88;155.37;4473.61;2.74
26059;52130522;PAGO;2024-01-01;834.67;147.29;419.36;10.51
26577;3041220;PAGO;2024-01-01;11118.6;1099.64;0;9
26459;7266316;PAGO;2024-01-01;1035.69;137.23;0;11.7
26682;938001046;PAGO;2024-01-01;1919.76;213.3;0;10
26610;34762400;PAGO;2024-01-01;943.74;0;0;0
26247;39771873;PAGO;2024-01-01;324.95;57.34;153.74;10.7
26911;27488285;PAGO;2024-01-01;2013.96;300.92;1158.82;8.66
28130;77066120;PAGO;2024-01-01;44.82;5;146.07;2.55
26048;49361335;PAGO;2024-01-01;2849.74;502.89;438.09;13.27
26141;7979290;PAGO;2024-01-01;1536.23;170.69;244.18;8.75
26183;8261563;PAGO;2024-01-01;11433.4;1193.21;0;9.45
26408;45077357;PAGO;2024-01-01;2115.02;209.18;606.49;7.14
26556;94126283;PAGO;2024-01-01;527.81;58.65;0;10
26555;93484402;PAGO;2024-01-01;699.21;77.69;0;10
26254;1237527;VENCIDO;2024-01-01;1212.69;119.92;0;9
26686;935140052;PAGO;2024-01-01;699.32;77.71;0;10
26300;26357730;PAGO;2024-01-01;947.22;93.67;188.18;7.62
26698;924846412;PAGO;2024-01-01;3025.04;336.1;0;10
26280;8731748;PAGO;2024-01-01;2000.34;197.84;0;9
26750;109488237;PAGO;2024-01-01;1835.31;203.92;0;10
26770;41954507;PAGO;2024-01-01;3864.29;429.35;1942.96;6.88
27004;48622780;PAGO;2024-01-01;5172.13;772.83;0;13
28839;45176860;PAGO;2024-01-01;2362.73;205.45;0;8
28576;42356407;PAGO;2024-01-01;515.05;90.88;234.88;10.81
26001;54471467;PAGO;2024-01-01;816.61;90.72;3166;2.23
25980;44549830;PAGO;2024-01-01;3439.13;340.13;1286.46;6.71
25979;73618373;PAGO;2024-01-01;1832.02;181.19;795.84;6.45
26023;87210398;PAGO;2024-01-01;683.93;102.18;353.43;8.97
26055;8181683;PAGO;2024-01-01;2540.09;448.25;415.28;13.17
26720;947849542;PAGO;2024-01-01;1012.64;112.52;0;10
26667;947728282;PAGO;2024-01-01;203.96;22.65;204.49;5.25
26292;52059518;PAGO;2024-01-01;6022.21;595.61;1296.08;7.53
26253;30605164;PAGO;2024-01-01;448.93;79.23;0;15
27307;4001771751;PAGO;2024-01-01;935.37;165.06;0;15
27488;74802;PAGO;2024-01-01;152.22;25.67;0;14.43
27607;20126930;VENCIDO;2024-01-01;3594.82;634.37;1412.16;11.25
26767;19667898;PAGO;2024-01-01;6002.89;666.98;0;10
25998;29917000;PAGO;2024-01-01;2610.41;258.16;3127.87;4.31
26088;27409741;PAGO;2024-01-01;174.63;30.81;230.75;7.06
26162;4002876292;PAGO;2024-01-01;4983.46;879.42;727.03;13.34
26193;8809305;PAGO;2024-01-01;10082.79;1052.26;0;9.45
26534;20459386;PAGO;2024-01-01;476.9;84.14;191.74;11.18
26431;54608845;PAGO;2024-01-01;19228.45;1012.02;0;5
26693;935047307;PAGO;2024-01-01;864.67;96.07;0;10
26234;4000426059;PAGO;2024-01-01;380.13;67.08;92.65;12.43
28572;4000834138;PAGO;2024-01-01;440.11;77.66;0;15
25791;109061977;PAGO;2024-01-01;3237.92;359.77;2045.76;6.38
25807;18185407;PAGO;2024-01-01;4162.25;462.46;0;10
26071;42638986;PAGO;2024-01-01;97.66;16.02;90.47;7.85
26179;4002103086;PAGO;2024-01-01;414.22;73.09;0;15
26535;30116368;PAGO;2024-01-01;513.69;90.64;540.85;7.91
26435;23455187;PAGO;2024-01-01;1224.74;162.27;0;11.7
26270;6156711;PAGO;2024-01-01;7179.42;710.05;0;9
26281;26875960;PAGO;2024-01-01;9166.68;906.59;0;9
26675;935049576;PAGO;2024-01-01;611.19;67.9;0;10
26621;22123415;PAGO;2024-01-01;373.35;65.87;0;15
26775;25847423;PAGO;2024-01-01;4494.17;499.35;1814.5;7.33
26781;46774302;PAGO;2024-01-01;1713.37;190.36;0;10
26808;49758120;PAGO;2024-01-01;1206.75;134.09;0;10
25904;4387066;PAGO;2024-01-01;3302.77;366.98;1729.31;6.8
27027;28183925;PAGO;2024-01-01;355.76;39.53;307.39;5.63
27317;22290923;PAGO;2024-01-01;453.05;79.94;142.49;11.83
28838;51284771;PAGO;2024-01-01;2793.54;242.92;0;8
25854;26930952;PAGO;2024-01-01;14174.13;1574.89;1752.62;9
25997;26891329;PAGO;2024-01-01;1271.94;125.03;288.09;7.42
25860;2859858;PAGO;2024-01-01;1730.53;192.27;333.07;8.52
26014;12876828;PAGO;2024-01-01;603.94;90.23;1703.12;3.76
26429;56251995;PAGO;2024-01-01;4317.89;179.92;5513.89;1.8
26277;8423920;PAGO;2024-01-01;1449.48;143.35;0;9
26739;935049477;PAGO;2024-01-01;604.75;67.2;338.63;6.65
25890;5653193;PAGO;2024-01-01;2361.61;262.4;0;10
25870;48305520;PAGO;2024-01-01;8238.28;915.35;0;10
25990;70620040;PAGO;2024-01-01;4618.23;456.74;1658.65;6.78
25988;76956490;PAGO;2024-01-01;5956.48;589.1;2219.55;6.72
25982;94590451;PAGO;2024-01-01;696.83;77.44;359.58;6.83
26133;7121466;PAGO;2024-01-01;1650.74;183.41;2023.11;4.75
26096;31230330;PAGO;2024-01-01;135.64;23.92;485.56;3.71
26076;707155;PAGO;2024-01-01;550.05;97.06;2856.16;2.77
26169;31726151;PAGO;2024-01-01;1801.3;187.99;0;9.45
26404;8106525;PAGO;2024-01-01;1723.04;170.41;969.64;5.95
26490;268577;PAGO;2024-01-01;784.25;138.4;289.38;11.42
26505;193909;PAGO;2024-01-01;2894.57;510.8;790.89;12.17
26278;20635770;PAGO;2024-01-01;2667.76;263.84;0;9
26694;926311571;PAGO;2024-01-01;1144.53;127.16;0;10
26463;4859103;PAGO;2024-01-01;3997.62;623.89;0;13.5
26818;2898152;PAGO;2024-01-01;3344.7;371.63;587.97;8.63
26857;42974528;PAGO;2024-01-01;155.93;17.33;0;10
26508;470660;PAGO;2024-01-01;439.51;77.56;169.09;11.3
28694;55858969;PAGO;2024-01-01;1097.38;274.34;0;20
28713;24496104;PAGO;2024-01-01;1449.2;362.29;0;20
26069;19173682;PAGO;2024-01-01;1261.33;222.57;1944.8;6.49
26116;54085362;PAGO;2024-01-01;1077.32;119.7;1326.32;4.74
26194;34920706;PAGO;2024-01-01;959.44;100.13;213.73;7.86
26567;89695984;PAGO;2024-01-01;2680.31;265.09;0;9
26491;68764;PAGO;2024-01-01;465.72;82.18;209.97;10.84
26276;23783096;PAGO;2024-01-01;2330.62;230.5;0;9
26473;55958637;PAGO;2024-01-01;115.83;20.45;0;15.01
26825;27817351;PAGO;2024-01-01;662.55;73.6;147.9;8.33
25920;25109651;PAGO;2024-01-01;791.94;87.97;360.52;7.09
26210;87545616;PAGO;2024-01-01;1380.08;153.34;0;10
26315;84595671;PAGO;2024-01-01;803.52;89.28;405.21;6.88
26625;4003246137;PAGO;2024-01-01;5443.79;568.13;0;9.45
26263;30690435;PAGO;2024-01-01;856.68;95.18;856.02;5.26
26255;12004311;PAGO;2024-01-01;654.54;72.71;0;10
26814;28704267;PAGO;2024-01-01;3603.54;400.4;0;10
26038;93193653;PAGO;2024-01-01;1268.99;189.61;3867.53;3.56
25862;4387619;PAGO;2024-01-01;2819.01;313.22;470.38;8.69
25878;53059651;PAGO;2024-01-01;777.14;86.33;468.02;6.48
25907;41200855;PAGO;2024-01-01;2294.06;147.91;385.08;5.23
26090;1642707;VENCIDO;2024-01-01;550.05;97.06;1092.53;5.58
26144;10335949;PAGO;2024-01-01;1262.18;140.24;590.11;7.04
26046;5708940;PAGO;2024-01-01;1486.58;262.33;0;15
26480;4126963;PAGO;2024-01-01;149.01;26.3;0;15
26462;60205245;PAGO;2024-01-01;2252.3;298.43;0;11.7
26677;935046978;PAGO;2024-01-01;934.79;103.87;0;10
26595;4000133414;PAGO;2024-01-01;1849.59;5.04;0;0.27
26441;106525697;PAGO;2024-01-01;1224.15;162.21;0;11.7
26222;4003075709;PAGO;2024-01-01;5537.02;977.11;0;15
28705;4134230;PAGO;2024-01-01;804.46;201.12;0;20
28577;21982201;PAGO;2024-01-01;660.15;116.5;0;15
26442;19825480;PAGO;2024-01-01;2354.94;312.03;0;11.7
26099;24186792;PAGO;2024-01-01;129.22;22.8;138.19;7.86
26070;26028566;PAGO;2024-01-01;116.42;20.54;144.44;7.3
26209;57313318;PAGO;2024-01-01;4509.65;501.07;0;10
26374;53033431;PAGO;2024-01-01;4863.17;480.96;652.83;8.02
26422;2421844;PAGO;2024-01-01;3290.28;325.41;0;9
26298;4859170;PAGO;2024-01-01;1593.42;157.59;270.21;7.8
26619;4003552746;PAGO;2024-01-01;1370.93;143.07;0;9.45
26760;41170611;PAGO;2024-01-01;3063.08;340.34;0;10
27011;42324353;VENCIDO;2024-01-01;204.94;30.62;0;13
27005;3217094;VENCIDO;2024-01-01;919.82;137.43;0;13
28455;4002312686;PAGO;2024-01-01;192.77;17.34;105.26;5.5
26016;39518299;PAGO;2024-01-01;2444.83;365.32;4975.94;4.69
26688;949319684;PAGO;2024-01-01;1802.66;200.3;0;10
27683;23037920;PAGO;2024-01-01;3843.46;678.25;0;15
25923;53328105;PAGO;2024-01-01;4249.73;472.19;1275.77;7.87
26062;15676310;PAGO;2024-01-01;284.06;50.11;349.85;7.33
26063;45899284;PAGO;2024-01-01;232.83;41.08;809.01;3.79
26066;32059880;PAGO;2024-01-01;510.47;90.08;0;15
26663;935140201;PAGO;2024-01-01;761.72;84.64;0;10
26468;53444466;PAGO;2024-01-01;1184.66;184.88;0;13.5
27008;55208000;PAGO;2024-01-01;216.26;32.31;0;13
27311;2454114;PAGO;2024-01-01;336.55;59.38;0;15
28581;4003300560;PAGO;2024-01-01;3889.35;686.36;0;15
25917;770035;PAGO;2024-01-01;135.11;10.71;36.53;5.87
25974;729485;PAGO;2024-01-01;4355.9;483.96;940.81;8.37
26011;45862532;PAGO;2024-01-01;1404.4;209.85;2990.57;4.56
26051;6221025;PAGO;2024-01-01;10345.43;1825.66;2019.7;12.87
26052;56915516;PAGO;2024-01-01;497.09;87.71;326.44;9.63
26514;4000470666;PAGO;2024-01-01;2230.23;232.75;308.61;8.4
26287;23963841;VENCIDO;2024-01-01;317.18;56.72;0;15.17
26225;42513391;PAGO;2024-01-01;411.47;72.61;503.21;7.35
26703;935162783;PAGO;2024-01-01;309.45;34.39;0;10
26803;45757862;PAGO;2024-01-01;176.27;19.59;107.08;6.47
26288;7921160;PAGO;2024-01-01;6202.93;613.47;0;9
26150;7571151;PAGO;2024-01-01;2137.08;237.45;572.93;8.06
26793;24642151;PAGO;2024-01-01;2005.49;222.83;2124.39;5.12
28695;4884639;VENCIDO;2024-01-01;644.74;161.18;0;20
26053;55494290;PAGO;2024-01-01;585.56;103.32;249.36;11.01
26126;29325014;PAGO;2024-01-01;5246.19;582.91;816.42;8.77
26386;25567064;PAGO;2024-01-01;7037.38;695.99;833.98;8.12
26395;49753535;PAGO;2024-01-01;2629.75;260.08;639.41;7.37
26485;38989;PAGO;2024-01-01;10417.01;1838.29;1702.17;13.17
26594;34457569;PAGO;2024-01-01;1240.37;0;0;0
26257;11011705;PAGO;2024-01-01;619.27;35.39;0;5.41
26753;53687159;PAGO;2024-01-01;3267.06;363;0;10
26768;25946391;VENCIDO;2024-01-01;2588.51;287.62;470.71;8.59
26782;42607312;PAGO;2024-01-01;1576.54;175.17;0;10
26785;3491730;PAGO;2024-01-01;117.11;13.01;0;10
26797;9480897;PAGO;2024-01-01;1626.47;180.7;297.95;8.58
26876;30058127;VENCIDO;2024-01-01;3373.66;374.85;0;10
26792;31573017;PAGO;2024-01-01;2795.01;310.53;2045.68;6.03
27302;28238215;PAGO;2024-01-01;1636.54;181.83;0;10
26509;2312;PAGO;2024-01-01;7439.79;1312.9;2076.87;12.12
25819;124311;PAGO;2024-01-01;3605.14;400.56;573.58;8.75
25899;6349633;PAGO;2024-01-01;530.09;58.9;158.4;7.88
25859;26538696;PAGO;2024-01-01;1594.14;177.13;347.54;8.36
26007;1605410;PAGO;2024-01-01;1924.32;190.31;1751.35;4.92
26115;30367049;PAGO;2024-01-01;857.23;95.25;168.97;8.49
26022;82315361;PAGO;2024-01-01;1154.14;172.46;2188.16;4.91
27279;248266;PAGO;2024-01-01;400.19;70.63;133.66;11.68
28704;28660120;VENCIDO;2024-01-01;685.07;171.26;0;20
26156;29111870;PAGO;2024-01-01;11377.12;2007.72;2065.42;12.99
26379;7219164;PAGO;2024-01-01;4405.15;435.66;1307.52;7.09
26380;2232642;PAGO;2024-01-01;967.79;95.71;183.9;7.67
26571;56756747;PAGO;2024-01-01;718.13;79.8;0;10
26251;5699819;VENCIDO;2024-01-01;291.57;51.45;374.42;7.17
26710;993298032;PAGO;2024-01-01;1302.13;144.69;0;10
26294;4837118;PAGO;2024-01-01;5081.24;502.54;3131.37;5.77
27002;45387640;PAGO;2024-01-01;2786.24;416.32;0;13
34308;7558228;PAGO;2024-01-01;1892.5;295.36;717.75;10.17
25968;32263330;PAGO;2024-01-01;618.87;68.77;270.23;7.18
26175;4001777704;PAGO;2024-01-01;1323.77;138.14;0;9.45
26650;59480;VENCIDO;2024-01-01;478.81;84.5;0;15
26733;948740500;PAGO;2024-01-01;1374.19;152.69;0;10
26476;56837256;PAGO;2024-01-01;174.63;30.81;0;15
26138;49533799;PAGO;2024-01-01;734.66;81.63;170.44;8.27
27003;4843460;PAGO;2024-01-01;6513.71;973.3;0;13
27680;6556124;PAGO;2024-01-01;3895.92;687.5;0;15
26003;31779880;PAGO;2024-01-01;1661.97;164.36;1792.62;4.54
25836;1751816;PAGO;2024-01-01;602.79;66.98;0;10
26563;106708341;PAGO;2024-01-01;1386.47;137.13;0;9
26267;53764827;PAGO;2024-01-01;281.67;31.28;133.17;7.01
26640;28596;PAGO;2024-01-01;787.31;122.88;0;13.5
26616;4003514232;PAGO;2024-01-01;4338.49;452.77;0;9.45
26888;57395613;PAGO;2024-01-01;473.34;52.58;506.16;5.09
28714;31195411;PAGO;2024-01-01;154.95;38.74;0;20
26870;7495285;PAGO;2024-01-01;165.44;18.38;207.64;4.7
27681;7174730;PAGO;2024-01-01;3453.81;609.48;0;15
25845;27894224;PAGO;2024-01-01;1341.32;149.03;465.35;7.62
26135;52029864;PAGO;2024-01-01;990.71;110.07;132.79;8.92
26049;22084305;PAGO;2024-01-01;2594.8;457.91;406.19;13.24
26146;25019075;PAGO;2024-01-01;4558.49;506.5;656.89;8.85
26187;4003104726;PAGO;2024-01-01;5514.95;575.54;0;9.45
26669;936292258;PAGO;2024-01-01;310.74;34.53;235.73;5.94
26446;53848918;PAGO;2024-01-01;781.7;103.57;0;11.7
26702;925130469;PAGO;2024-01-01;115.16;12.8;0;10
26074;44956233;PAGO;2024-01-01;1176.92;207.69;2151.42;5.87
28574;4000746592;PAGO;2024-01-01;440.11;77.66;0;15
26012;83730869;PAGO;2024-01-01;7208.21;1077.09;13885.09;4.86
26110;57477202;PAGO;2024-01-01;110.02;19.42;449.36;3.36
26082;744549;PAGO;2024-01-01;594.87;104.97;1228.39;5.44
